source_page_id,target_page_id,source_publication,target_publication,source_date,target_date,time_lag_days,source_volume,source_number,target_volume,target_number,source_text_length,target_text_length,matched_text,match_length_words,match_length_chars,similarity_score,position_text1,position_text2,match_pct_source,match_pct_target,match_length_category,match_type_auto,is_boilerplate,source_context,target_context,verified_match_type,notes
183,525,BigMammaRag,GoldFlower,1974-08-01,1974-08-01,0,3.0,2.0,3.0,3.0,7384,1735,"1724 gaylord st. denver, co. 80206",6,34,0.703030303030303,1242,250,0.4604550379198266,1.9596541786743515,short,possible_reuse,False,"1724 gaylord st. denver, co. 80206","1724 gaylord st. denver, co. 80206",,
518,255,GoldFlower,BigMammaRag,1974-08-01,1974-11-01,92,3.0,3.0,3.0,5.0,6055,6693,raise grave constitutional questions under the first,7,52,0.6639004149377593,869,741,0.8587943848059455,0.776931122067832,short,possible_reuse,False,raise grave constitutional questions under the first,raise grave constitutional questions under the first,,
298,117,DoItNow,BigMammaRag,1974-01-01,1974-04-01,90,,,2.0,6.0,2994,10058,of their children and to the income of,8,38,0.9032258064516129,155,1223,1.2692050768203071,0.37780870948498707,short,possible_reuse,False,"te expansion of flexible hours employment practices by all public
and private employers.

we feel the bill could especially benefit parents by making it possible for both to contribute to
the rearing of their children and to the income of the family.

write to the chairman of the senate post office and civil service commit-
tee, senator gale mcgee (d-wyo) with a copy to your own senators,
urging favorable committee action.

powell hea","y against women with children imposed by the basic pattern of working hours in our society.” now feels that the bill could especially benefit parents in leaving both free to contribute to the raising of their children and to the income of their family.

the right to life committee is really moving in washington. ms. andrikopoulos said the committee is introducing amendments to any funding bill they can to prohibit the use of any feder",,
43,191,AintIAWoman,BigMammaRag,1973-07-20,1974-08-01,377,3.0,5.0,3.0,2.0,2991,8436,free to sisters in prison or,6,28,0.6857142857142857,315,1041,0.9361417586091608,0.33191085822664773,short,possible_reuse,False,free to sisters in prison or,free to sisters in prison or,,
525,200,GoldFlower,BigMammaRag,1974-08-01,1974-09-01,31,3.0,3.0,3.0,3.0,1735,8348,"bulk rates available 1724 gaylord st. denver, co. 80206",9,55,0.7878787878787878,247,1347,3.170028818443804,0.6588404408241495,short,possible_reuse,False,"bulk rates available 1724 gaylord st. denver, co. 80206","bulk rates available 1724 gaylord st. denver, co. 80206",,
44,284,AintIAWoman,DoItNow,1973-07-20,1974-02-01,196,3.0,5.0,,,192,255,"pp. [1]+. archives of sexuality and gender,",7,43,0.8630952380952381,9,18,22.395833333333336,16.862745098039216,short,possible_reuse,False,"""ain't a woman?"" ain't a woman?, 20 july 1973, pp. [1]+. archives of sexuality and gender, link.gale.com/apps/doc/itmzbt182587746/ahsi?u=clemsonu_main&sid=bookmark-ahsi. accessed 21 oct. 2025.","pp. [1]+. archives of sexuality and gender,",,
368,115,GoldFlower,BigMammaRag,1974-02-01,1974-04-01,59,2.0,10.0,2.0,6.0,3590,10370,the national black feminist organization held its first,8,55,0.7053140096618358,0,132,1.532033426183844,0.5303760848601736,short,possible_reuse,False,the national black feminist organization held its first,"to know exactly when to fly out of the ferry’s path. and in new york city in august of 1973 there was a press conference announcing the existence of a black feminist organization.

late last november the national black feminist organization held its first conference in new york. about 400 women from widely diverse backgrounds attended plenary sessions, participated in informal discussions and workshops covering issues that included welfare, child care",,
529,197,GoldFlower,BigMammaRag,1974-08-01,1974-08-01,0,3.0,3.0,3.0,2.0,214,194,"aug. 1974. archives of sexuality and gender,",7,44,0.7927927927927928,10,10,20.5607476635514,22.68041237113402,short,possible_reuse,False,"""gold flower: a twin cities newspaper for women."" gold flower, 
aug. 1974. archives of sexuality and gender, link.gale.com/apps 
/doc/safxwt878004820/ahsi?u=clemsonu_main 
&sid=bookmark-ahsi. accessed 21 oct. 2025.","aug. 1974. archives of sexuality and gender,",,
492,137,GoldFlower,BigMammaRag,1974-01-01,1974-05-01,120,2.0,9.0,2.0,7.0,4588,10935,i am presently working on my,6,28,0.6794258373205742,454,1827,0.6102877070619006,0.25605852766346593,short,possible_reuse,False,i am presently working on my,i am presently working on my,,
273,137,DoItNow,BigMammaRag,1974-02-01,1974-05-01,89,,,2.0,7.0,3644,10935,"barbara bryant, school of social work, california state",8,55,0.6891385767790262,260,1883,1.5093304061470911,0.5029721079103796,short,possible_reuse,False,"nt or sale from karen decrow, 116 benedict avenue, syracuse, n.y. 13210..... sexuality
and lesbianism task force coordinator sidney abbott announces new research on lesbian
mothers being conducted by barbara bryant, school of social work, california state university,
sacramento, ca 95819. the questionnaire, for which correspondence will be confidential

and can be anonymous, was developed in cooperation with now member del martin and
payits liyohi....","barbara bryant, school of social work, california state",,
86,307,BigMammaRag,DoItNow,1973-03-01,1973-11-01,245,1.0,3.0,,,7631,6545,and independent career from that of her,7,39,0.8387096774193549,423,826,0.5110732538330494,0.5958747135217723,short,possible_reuse,False,and independent career from that of her," cases such as bradwell v. 
illinois (1873), where the court concluded that: 

the harmony * * * which belongs * * * to the family institution is repugnant to the idea of a woman 
adopting a distinct and independent career from that of her husband. * * * the paramount destiny and 
mission of woman are to fulfill the offices * * * of wife and mother * * * .” 

with the backdrop of that quotation, the supreme court ventured again, not on",,
44,271,AintIAWoman,DoItNow,1973-07-20,1973-12-01,134,3.0,5.0,,,192,259,"1973, pp. [1]+. archives of sexuality and gender,",8,49,0.7941176470588235,8,17,25.520833333333332,18.91891891891892,short,possible_reuse,False,"""ain't a woman?"" ain't a woman?, 20 july 1973, pp. [1]+. archives of sexuality and gender, link.gale.com/apps/doc/itmzbt182587746/ahsi?u=clemsonu_main&sid=bookmark-ahsi. accessed 21 oct. 2025.","1973, pp. [1]+. archives of sexuality and gender,",,
158,524,BigMammaRag,GoldFlower,1974-07-01,1974-08-01,31,3.0,1.0,3.0,3.0,6875,3356,studies are controlled by men or locked into a system that does not allow adequate,15,82,0.9025974025974026,414,295,1.1927272727272726,2.443384982121573,short,quoted_passage,False," that there will be greater academic freedom than found at any college or university offering women’s studies.

“present courses leave something to be desired,” she said. “in many schools the women’s studies are controlled by men or locked into a system that does not allow adequate freedom for maximum intellectual growth.”

dr. peters, of goddard college in plainfield, vt., and brooklyn, n.y., told how the institute got its name.

“the name was taken from the sagaris, the doubl",studies are controlled by men or locked into a system that does not allow adequate,,
