source_page_id,target_page_id,source_publication,target_publication,source_date,target_date,time_lag_days,source_volume,source_number,target_volume,target_number,source_text_length,target_text_length,matched_text,match_length_words,match_length_chars,similarity_score,position_text1,position_text2
44,284,AintIAWoman,DoItNow,1973-07-20,1974-02-01,196,3.0,5.0,,,192,255,"pp. [1]+. archives of sexuality and gender,",7,43,0.8630952380952381,9,18
412,110,GoldFlower,BigMammaRag,1973-08-01,1973-11-01,92,2.0,5.0,1.0,5.0,4461,4940,then be taken back to the,6,25,0.6549707602339181,73,657
416,329,GoldFlower,DoItNow,1973-08-01,1973-09-01,31,2.0,5.0,,,179,247,"1973. archives of sexuality and gender,",6,39,0.8083832335329342,5,17
416,113,GoldFlower,BigMammaRag,1973-08-01,1973-11-01,92,2.0,5.0,1.0,5.0,179,199,"1973. archives of sexuality and gender,",6,39,0.806060606060606,5,11
329,434,DoItNow,GoldFlower,1973-09-01,1973-09-01,0,,,2.0,6.0,247,180,"sept. 1973. archives of sexuality and gender,",7,45,0.8208092485549133,16,4
329,452,DoItNow,GoldFlower,1973-09-01,1973-10-01,30,,,2.0,7.0,247,179,"1973. archives of sexuality and gender,",6,39,0.8083832335329342,17,5
329,113,DoItNow,BigMammaRag,1973-09-01,1973-11-01,61,,,1.0,5.0,247,199,"1973. archives of sexuality and gender,",6,39,0.8220858895705522,17,11
329,478,DoItNow,GoldFlower,1973-09-01,1973-12-01,91,,,2.0,8.0,247,181,"1973. archives of sexuality and gender,",6,39,0.8071216617210683,17,5
434,329,GoldFlower,DoItNow,1973-09-01,1973-09-01,0,2.0,6.0,,,180,247,"sept. 1973. archives of sexuality and gender,",7,45,0.8208092485549133,4,16
434,113,GoldFlower,BigMammaRag,1973-09-01,1973-11-01,61,2.0,6.0,1.0,5.0,180,199,"1973. archives of sexuality and gender,",6,39,0.8036253776435045,5,11
452,113,GoldFlower,BigMammaRag,1973-10-01,1973-11-01,31,2.0,7.0,1.0,5.0,179,199,"1973. archives of sexuality and gender,",6,39,0.8181818181818182,5,11
113,478,BigMammaRag,GoldFlower,1973-11-01,1973-12-01,30,1.0,5.0,2.0,8.0,199,181,"1973. archives of sexuality and gender,",6,39,0.8108108108108109,11,5
265,117,DoItNow,BigMammaRag,1973-12-01,1974-04-01,121,,,2.0,6.0,2940,10058,to the foreign assistance act of,6,32,0.6666666666666666,55,1337
298,117,DoItNow,BigMammaRag,1974-01-01,1974-04-01,90,,,2.0,6.0,2994,10058,of the federal government be made available on a,9,48,0.7822222222222223,35,1127
298,117,DoItNow,BigMammaRag,1974-01-01,1974-04-01,90,,,2.0,6.0,2994,10058,or one to four days per,6,23,0.9078947368421053,83,1149
298,117,DoItNow,BigMammaRag,1974-01-01,1974-04-01,90,,,2.0,6.0,2994,10058,responsible position with standard civil service protections and prorated fringe benefits.,11,90,0.782312925170068,101,1167
298,117,DoItNow,BigMammaRag,1974-01-01,1974-04-01,90,,,2.0,6.0,2994,10058,of their children and to the income of,8,38,0.9032258064516129,155,1223
494,127,GoldFlower,BigMammaRag,1974-01-01,1974-04-01,90,2.0,9.0,2.0,6.0,178,192,"1974. archives of sexuality and gender,",6,39,0.8,5,11
494,141,GoldFlower,BigMammaRag,1974-01-01,1974-05-01,120,2.0,9.0,2.0,7.0,178,193,"1974. archives of sexuality and gender,",6,39,0.8024691358024691,5,11
494,155,GoldFlower,BigMammaRag,1974-01-01,1974-06-01,151,2.0,9.0,2.0,8.0,178,194,"1974. archives of sexuality and gender,",6,39,0.8184615384615385,5,11
494,172,GoldFlower,BigMammaRag,1974-01-01,1974-07-01,181,2.0,9.0,3.0,1.0,178,194,"1974. archives of sexuality and gender,",6,39,0.8246153846153846,5,11
494,197,GoldFlower,BigMammaRag,1974-01-01,1974-08-01,212,2.0,9.0,3.0,2.0,178,194,"1974. archives of sexuality and gender,",6,39,0.8123076923076923,5,11
494,218,GoldFlower,BigMammaRag,1974-01-01,1974-09-01,243,2.0,9.0,3.0,3.0,178,194,"1974. archives of sexuality and gender,",6,39,0.8061538461538461,5,11
494,239,GoldFlower,BigMammaRag,1974-01-01,1974-10-01,273,2.0,9.0,3.0,4.0,178,192,"1974. archives of sexuality and gender,",6,39,0.7818181818181819,5,11
494,260,GoldFlower,BigMammaRag,1974-01-01,1974-11-01,304,2.0,9.0,3.0,5.0,178,194,"1974. archives of sexuality and gender,",6,39,0.8061538461538461,5,11
492,137,GoldFlower,BigMammaRag,1974-01-01,1974-05-01,120,2.0,9.0,2.0,7.0,4588,10935,i am presently working on my,6,28,0.6794258373205742,454,1827
492,137,GoldFlower,BigMammaRag,1974-01-01,1974-05-01,120,2.0,9.0,2.0,7.0,4588,10935,a child whether or not they are now living together.,10,52,0.696078431372549,579,1863
382,127,GoldFlower,BigMammaRag,1974-02-01,1974-04-01,59,2.0,10.0,2.0,6.0,214,192,"1974. archives of sexuality and gender,",6,39,0.7801857585139319,11,11
382,141,GoldFlower,BigMammaRag,1974-02-01,1974-05-01,89,2.0,10.0,2.0,7.0,214,193,"1974. archives of sexuality and gender,",6,39,0.8012618296529969,11,11
382,155,GoldFlower,BigMammaRag,1974-02-01,1974-06-01,120,2.0,10.0,2.0,8.0,214,194,"1974. archives of sexuality and gender,",6,39,0.7924528301886793,11,11
382,172,GoldFlower,BigMammaRag,1974-02-01,1974-07-01,150,2.0,10.0,3.0,1.0,214,194,"1974. archives of sexuality and gender,",6,39,0.7924528301886793,11,11
382,197,GoldFlower,BigMammaRag,1974-02-01,1974-08-01,181,2.0,10.0,3.0,2.0,214,194,"1974. archives of sexuality and gender,",6,39,0.7987421383647799,11,11
382,218,GoldFlower,BigMammaRag,1974-02-01,1974-09-01,212,2.0,10.0,3.0,3.0,214,194,"1974. archives of sexuality and gender,",6,39,0.7987421383647799,11,11
382,239,GoldFlower,BigMammaRag,1974-02-01,1974-10-01,242,2.0,10.0,3.0,4.0,214,192,"1974. archives of sexuality and gender,",6,39,0.7739938080495357,11,11
382,260,GoldFlower,BigMammaRag,1974-02-01,1974-11-01,273,2.0,10.0,3.0,5.0,214,194,"1974. archives of sexuality and gender,",6,39,0.779874213836478,11,11
273,137,DoItNow,BigMammaRag,1974-02-01,1974-05-01,89,,,2.0,7.0,3644,10935,"barbara bryant, school of social work, california state",8,55,0.6891385767790262,260,1883
368,115,GoldFlower,BigMammaRag,1974-02-01,1974-04-01,59,2.0,10.0,2.0,6.0,3590,10370,the national black feminist organization held its first,8,55,0.7053140096618358,0,132
127,511,BigMammaRag,GoldFlower,1974-04-01,1974-06-01,61,2.0,6.0,3.0,1.0,192,176,"1974. archives of sexuality and gender,",6,39,0.817910447761194,11,5
127,529,BigMammaRag,GoldFlower,1974-04-01,1974-08-01,122,2.0,6.0,3.0,3.0,192,214,"1974. archives of sexuality and gender,",6,39,0.7925696594427245,11,11
141,511,BigMammaRag,GoldFlower,1974-05-01,1974-06-01,31,2.0,7.0,3.0,1.0,193,176,"1974. archives of sexuality and gender,",6,39,0.7963525835866262,11,5
141,529,BigMammaRag,GoldFlower,1974-05-01,1974-08-01,92,2.0,7.0,3.0,3.0,193,214,"1974. archives of sexuality and gender,",6,39,0.8012618296529969,11,11
509,163,GoldFlower,BigMammaRag,1974-06-01,1974-07-01,30,3.0,1.0,3.0,1.0,2029,8494,coalition of labor union women (cluw) was,7,41,0.6555555555555556,3,18
509,224,GoldFlower,BigMammaRag,1974-06-01,1974-10-01,122,3.0,1.0,3.0,4.0,2029,6668,the coalition of labor union women,6,34,0.703030303030303,2,49
511,155,GoldFlower,BigMammaRag,1974-06-01,1974-06-01,0,3.0,1.0,2.0,8.0,176,194,"june 1974. archives of sexuality and gender,",7,44,0.8417910447761194,4,10
511,172,GoldFlower,BigMammaRag,1974-06-01,1974-07-01,30,3.0,1.0,3.0,1.0,176,194,"1974. archives of sexuality and gender,",6,39,0.8181818181818182,5,11
511,197,GoldFlower,BigMammaRag,1974-06-01,1974-08-01,61,3.0,1.0,3.0,2.0,176,194,"1974. archives of sexuality and gender,",6,39,0.793939393939394,5,11
511,218,GoldFlower,BigMammaRag,1974-06-01,1974-09-01,92,3.0,1.0,3.0,3.0,176,194,"1974. archives of sexuality and gender,",6,39,0.8,5,11
511,239,GoldFlower,BigMammaRag,1974-06-01,1974-10-01,122,3.0,1.0,3.0,4.0,176,192,"1974. archives of sexuality and gender,",6,39,0.8119402985074626,5,11
511,260,GoldFlower,BigMammaRag,1974-06-01,1974-11-01,153,3.0,1.0,3.0,5.0,176,194,"1974. archives of sexuality and gender,",6,39,0.7878787878787878,5,11
155,511,BigMammaRag,GoldFlower,1974-06-01,1974-06-01,0,2.0,8.0,3.0,1.0,194,176,"june 1974. archives of sexuality and gender,",7,44,0.8417910447761194,10,4
155,529,BigMammaRag,GoldFlower,1974-06-01,1974-08-01,61,2.0,8.0,3.0,3.0,194,214,"1974. archives of sexuality and gender,",6,39,0.7924528301886793,11,11
158,524,BigMammaRag,GoldFlower,1974-07-01,1974-08-01,31,3.0,1.0,3.0,3.0,6875,3356,studies are controlled by men or locked into a system that does not allow adequate,15,82,0.9025974025974026,414,295
172,529,BigMammaRag,GoldFlower,1974-07-01,1974-08-01,31,3.0,1.0,3.0,3.0,194,214,"1974. archives of sexuality and gender,",6,39,0.779874213836478,11,11
518,255,GoldFlower,BigMammaRag,1974-08-01,1974-11-01,92,3.0,3.0,3.0,5.0,6055,6693,raise grave constitutional questions under the first,7,52,0.6639004149377593,869,741
529,197,GoldFlower,BigMammaRag,1974-08-01,1974-08-01,0,3.0,3.0,3.0,2.0,214,194,"aug. 1974. archives of sexuality and gender,",7,44,0.7927927927927928,10,10
529,218,GoldFlower,BigMammaRag,1974-08-01,1974-09-01,31,3.0,3.0,3.0,3.0,214,194,"1974. archives of sexuality and gender,",6,39,0.7987421383647799,11,11
529,239,GoldFlower,BigMammaRag,1974-08-01,1974-10-01,61,3.0,3.0,3.0,4.0,214,192,"1974. archives of sexuality and gender,",6,39,0.7801857585139319,11,11
529,260,GoldFlower,BigMammaRag,1974-08-01,1974-11-01,92,3.0,3.0,3.0,5.0,214,194,"1974. archives of sexuality and gender,",6,39,0.779874213836478,11,11
197,529,BigMammaRag,GoldFlower,1974-08-01,1974-08-01,0,3.0,2.0,3.0,3.0,194,214,"aug. 1974. archives of sexuality and gender,",7,44,0.7927927927927928,10,10
183,525,BigMammaRag,GoldFlower,1974-08-01,1974-08-01,0,3.0,2.0,3.0,3.0,7384,1735,"1724 gaylord st. denver, co. 80206",6,34,0.703030303030303,1242,250
525,183,GoldFlower,BigMammaRag,1974-08-01,1974-08-01,0,3.0,3.0,3.0,2.0,1735,7384,"1724 gaylord st. denver, co. 80206",6,34,0.703030303030303,250,1242
525,200,GoldFlower,BigMammaRag,1974-08-01,1974-09-01,31,3.0,3.0,3.0,3.0,1735,8348,"bulk rates available 1724 gaylord st. denver, co. 80206",9,55,0.7878787878787878,247,1347
